gene_id,highly_variable
POGK,False
TADA1,False
ILDR2,False
MAEL,False
GPA33,False
AL451050.2,False
POU2F1,True
CD247,False
AL359962.2,False
CREG1,False
AL031733.2,False
RCSD1,False
MPZL1,False
ADCY10,False
MPC2,False
DCAF6,True
GPR161,False
TIPRL,True
SFT2D2,False
TBX19,False
AL023755.1,False
XCL2,False
XCL1,False
DPT,False
ATP1B1,True
NME7,False
BLZF1,False
CCDC181,False
SLC19A2,False
AL021068.1,False
F5,False
SELP,False
C1orf112,False
SELL,True
SELE,False
AL021940.1,False
METTL18,False
SCYL3,True
KIFAP3,False
LINC01681,False
AL354732.1,False
GORAB,False
Z97200.1,False
FMO3,False
FMO2,False
FMO1,False
FMO4,False
PRRC2C,True
MYOCOS,False
VAMP4,False
METTL13,True
DNM3,False
DNM3OS,False
PIGC,False
C1orf105,False
SUCO,False
FASLG,False
TNFSF4,False
AL645568.1,False
PRDX6,True
SLC9C2,False
ANKRD45,False
KLHL20,False
CENPL,False
DARS2,False
GAS5-AS1,False
ZBTB37,False
SERPINC1,True
RC3H1,False
AL121983.2,False
RABGAP1L,False
GPR52,False
CACYBP,True
MRPS14,True
TNN,False
KIAA0040,False
TNR,False
AL513329.1,False
COP1,False
PAPPA2,False
SEC16B,False
RASAL2-AS1,False
RASAL2,False
C1orf220,False
AL449106.1,False
RALGPS2,False
ANGPTL1,False
FAM20B,False
TOR3A,False
ABL2,False
SOAT1,False
AXDND1,False
FAM163A,False
TOR1AIP2,False
AL353708.3,False
TOR1AIP1,False
AL353708.1,False
CEP350,False
QSOX1,True
ACBD6,False
XPR1,False
KIAA1614,False
AL162431.2,False
KIAA1614-AS1,False
STX6,False
MR1,False
IER5,False
ZNF648,False
AL355482.1,False
AL390856.1,False
LINC01344,False
GLUL,False
RGSL1,False
RNASEL,False
RGS16,False
LINC01686,False
NPL,False
DHX9,False
LAMC1,False
LAMC2,False
SMG7,False
NCF2,False
ARPC5,False
RGL1,True
COLGALT2,False
TSEN15,False
C1orf21,True
EDEM3,True
FAM129A,False
RNF2,False
TRMT1L,False
SWT1,False
IVNS1ABP,True
AL078644.2,False
HMCN1,False
PRG4,True
TPR,False
ODR4,False
OCLM,False
AL596220.1,False
PTGS2,False
PLA2G4A,False
ERVMER61-1,False
LINC01701,False
RGS18,False
AL390957.1,False
AL136987.1,False
RGS1,True
RGS13,False
AL136454.1,False
RGS2,True
UCHL5,False
TROVE2,True
GLRX2,True
CDC73,False
B3GALT2,False
AL357793.1,False
AL356272.1,False
KCNT2,False
CFH,False
CFHR3,False
CFHR1,False
CFHR4,True
CFHR2,True
CFHR5,True
F13B,True
ASPM,False
ZBTB41,False
DENND1B,False
C1orf53,True
LHX9,False
NEK7,True
PTPRC,True
MIR181A1HG,False
NR5A2,False
LINC00862,False
AC097065.2,False
AC104461.1,False
ZNF281,False
AL359834.1,False
KIF14,False
DDX59,False
AL445483.1,False
CAMSAP2,False
INAVA,False
KIF21B,False
TMEM9,True
IGFN1,False
TNNT2,False
LAD1,False
AC119427.1,False
PHLDA3,False
CSRP1,False
AC096677.1,False
NAV1,False
IPO9-AS1,False
IPO9,False
SHISA4,False
AL513217.1,False
LMOD1,False
TIMM17A,False
RNPEP,True
ELF3-AS1,False
ELF3,False
GPR37L1,False
ARL8A,False
PTPN7,False
LGR6,False
UBE2T,False
PPP1R12B,False
SYT2,False
AC104463.2,False
KDM5B,False
PCAT6,False
RABIF,False
KLHL12,False
ADIPOR1,False
CYB5R1,False
TMEM183A,True
